Comunidad Autonoma;Tasa Paro;Sexo;Periodo;Edad
Total Nacional;16.0;Ambos sexos;2009T3;De 25 a 54 años
Total Nacional;16.16;Ambos sexos;2009T2;De 25 a 54 años
Total Nacional;15.94;Ambos sexos;2009T1;De 25 a 54 años
Total Nacional;12.58;Ambos sexos;2008T4;De 25 a 54 años
Total Nacional;10.02;Ambos sexos;2008T3;De 25 a 54 años
Total Nacional;9.12;Ambos sexos;2008T2;De 25 a 54 años
Total Nacional;8.53;Ambos sexos;2008T1;De 25 a 54 años
Total Nacional;7.59;Ambos sexos;2007T4;De 25 a 54 años
Total Nacional;6.9;Ambos sexos;2007T3;De 25 a 54 años
Total Nacional;6.83;Ambos sexos;2007T2;De 25 a 54 años
Total Nacional;7.48;Ambos sexos;2007T1;De 25 a 54 años
Total Nacional;7.3;Ambos sexos;2006T4;De 25 a 54 años
Total Nacional;7.12;Ambos sexos;2006T3;De 25 a 54 años
Total Nacional;7.43;Ambos sexos;2006T2;De 25 a 54 años
Total Nacional;8.05;Ambos sexos;2006T1;De 25 a 54 años
Total Nacional;7.65;Ambos sexos;2005T4;De 25 a 54 años
Total Nacional;7.3;Ambos sexos;2005T3;De 25 a 54 años
Total Nacional;7.99;Ambos sexos;2005T2;De 25 a 54 años
Total Nacional;8.89;Ambos sexos;2005T1;De 25 a 54 años
Total Nacional;9.44;Ambos sexos;2004T4;De 25 a 54 años
Total Nacional;9.52;Ambos sexos;2004T3;De 25 a 54 años
Total Nacional;9.88;Ambos sexos;2004T2;De 25 a 54 años
Total Nacional;10.42;Ambos sexos;2004T1;De 25 a 54 años
Total Nacional;10.19;Ambos sexos;2003T4;De 25 a 54 años
Total Nacional;10.02;Ambos sexos;2003T3;De 25 a 54 años
Total Nacional;10.13;Ambos sexos;2003T2;De 25 a 54 años
Total Nacional;10.83;Ambos sexos;2003T1;De 25 a 54 años
Total Nacional;10.3;Ambos sexos;2002T4;De 25 a 54 años
Total Nacional;10.22;Ambos sexos;2002T3;De 25 a 54 años
Total Nacional;9.97;Ambos sexos;2002T2;De 25 a 54 años
Total Nacional;10.34;Ambos sexos;2002T1;De 25 a 54 años
Total Nacional;11.79;Ambos sexos;2019T3;55 y más años
Total Nacional;12.27;Ambos sexos;2019T2;55 y más años
Total Nacional;12.57;Ambos sexos;2019T1;55 y más años
Total Nacional;12.77;Ambos sexos;2018T4;55 y más años
Total Nacional;12.13;Ambos sexos;2018T3;55 y más años
Total Nacional;13.48;Ambos sexos;2018T2;55 y más años
Total Nacional;14.78;Ambos sexos;2018T1;55 y más años
